Exp ID,Index,Original,Reference,LM Output
M-7,0,"The exhibitions served a number of purposes - their main focus was to promote business and industry, open up new markets, and generally to outperform competitors, in an increasingly global economic market.","The exhibitions served a number of purposes. The exhibitions main focus was to promote business and industry, open up new markets, and generally to outperform competitors, in an increasingly global economic market","The exhibitions had several goals. Their main purpose was to promote business and industry, open new markets, and beat competitors in the global economy."
M-7,1,"To aid biodiversity conservation we have drawn up Habitat Action Plans (HAPs) for grassland, woodland, heathland and wetland habitats across 130 target sites in Sheffield.","To aid biodiversity conservation we have drawn up Habitat Action Plans (HAPs) for grassland, woodland, heathland and wetland habitats across 130 target sites in Sheffield.","To aid biodiversity conservation, we have created Habitat Action Plans (HAPs) for grassland, woodland, heathland, and wetland habitats. These plans cover 130 target sites in Sheffield."
M-7,2,"If notice of the sale hasn ’ t been given, the tenant can take legal action against either the old landlord, or the new landlord or both.","If notice of the sale hasn’t been given, the renter can take legal action against either the old landlord, or the new landlord or both.","If notice of the sale hasn't been given, the tenant can take legal action against the old landlord, the new landlord, or both."
M-7,3,"Norfolk Park Tenants & Residents' Association: have a go at their wide range of activities including crafts, sports and visits to exciting locations!.","At Norfolk Park Tenants & Residents' Association you can try many activities. These include crafts, sports and visits to exciting places!","Norfolk Park Tenants & Residents' Association offers many activities such as crafts, sports, and visits to interesting places."
M-7,4,"This document will now need to be formally submitted to the Local Planning Authority for approval and, after this, the fieldwork can then commence.","The document must now be formally sent to the local planing authority for approval, and then the site can be started","This document needs to be formally submitted to the Local Planning Authority for approval first. Once it is approved, the fieldwork can begin."
M-7,5,"Properties that have been constructed or adapted for use for manufacturing, repairing or adapting goods or materials, storage, working or processing of materials and generation of electricity will generally be exempt from empty Rates for any period prior to 1st April 2008.","Properties that have been built or adapted to manufacturing, repairing or adapting goods or materials, storage, working or processing of materials and generation of electricity will generally be exempt from empty Rates for any period before 1st April 2008.","Properties built or adapted for manufacturing, repairing goods, storing materials, processing materials, or generating electricity are usually exempt from empty Rates before April 1, 2008."
M-7,6,"If a ‘ relevant notice ’ from us is cancelled or reversed, then you will not have any extra protection against retaliatory eviction.","If a ‘relevant notice’ from us is cancelled or reversed, then you will not have any extra protection against unfair eviction.","If we cancel or reverse a 'relevant notice', you will not get extra protection against being evicted retaliatorily."
M-7,7,"If you have a vacancy, or are thinking about recruiting, we can find you employees for either work experience or employment.","If you have a vacancy, or are thinking about recruiting, we can find you employees for either work experience or employment.","If you have a vacancy or are considering recruiting, we can help you find employees for either work experience or employment."
M-7,8,"The Services to Schools Team are responsible for the development, co-ordination and delivery of an integrated service offer to schools.","The Services to Schools Team develops, coordinates and delivers an integrated service offer to schools.","The Services to Schools Team develops, coordinates, and delivers an integrated service offer to schools."
M-7,9,"In December 2013, affected businesses voted in a ballot with a majority in favour of the BID proposal, with a turnout of 35% and a majority of 82% on the count of votes received, and a majority of 95% on the count of rateable value of those parties that voted.","In December 2013, affected businesses voted, with a majority in favour of the BID plan, with a turnout of 35% and a majority of 82% on the count of votes given, and a majority of 95% on the count of rateable value of the groups that voted.","In December 2013, affected businesses voted on the BID proposal. A majority voted in favor. The turnout was 35%, and the majority was 82% based on the number of votes received. Additionally, the majority was 95% based on the rateable value of the businesses that participated in the vote."
M-7,10,Members were of the opinion that the DPPO is having a positive impact on reducing alcohol related anti-social behaviour / disorder in the area.,"We, the members, believe that the DPPO is having a positive influence on reducing alcohol related anti-social behaviour/disorder in the area. *",Members thought that the DPPO is helping to reduce alcohol-related anti-social behavior in the area.
M-7,11,Specific areas have been allocated for the city centre and applicants are advised to contact us for an up to date list.,Specific areas have been allocated for the city centre and applicants are instructed to contact us for an up to date list.,Specific areas have been set aside for the city centre. Applicants are advised to contact us for the latest list.
M-7,12,The Environmental Impact Assessment (EIA) procedure must be followed for certain types of development before they are granted consent.,The Environmental Jmpact Assessment (EIA) procedure must be followed for certain types of development before they are given consent.,"For certain types of development, the Environmental Impact Assessment (EIA) procedure must be followed before consent is granted."
M-7,13,"Section 47 of the Copyright, Designs and Patents Act 1988 protects plans, drawings and material submitted to Sheffield City Council which is required by law to be open to public inspection or on a public register, such as materials used for the purpose of obtaining planning consent.","Some plans, drawings and other material submitted to Sheffield City Council are required by law to be available for public inspection or to be in public records. These materials are protected by section 47 of the Copyright, designs and Patents Act 1988. They include materials used to support planning applications.","Section 47 of the Copyright, Designs and Patents Act 1988 protects plans, drawings, and submitted materials. Sheffield City Council must keep these materials open for public inspection or on a public register. This includes materials used for getting planning consent."
M-7,14,"Despite serious wartime bomb damage the area retains significant historic importance including Lady ’ s Bridge, the Old Town Hall and Courts and the remains of the castle buried in the foundations of the former Castle Market site.","The area saw serious wartime damage due to bomb falls. However, important historical landmarks including The Lady’s Bridge, the Old Town Hall and the Courts still exist today. There is also the remains of a castle buried in the foundations of the previous Castle Market site.","Despite wartime bomb damage, the area still has important historical significance. Notable historic sites include Lady's Bridge, the Old Town Hall and Courts, and the remains of the castle buried in the foundations of the former Castle Market site."
M-7,15,In addition paragraph 82 (4) gives us the right to reject expressions of interest received outside of any specified time period.,Paragraph 82 (4) gives us the right to reject any interest recieved outside of a stated time period.,Paragraph 82 (4) allows us to reject interest expressions that are received outside of the specified time period.
M-7,16,"Design should consider how the internal arrangement can help to avoid unnecessary energy demands, such as an over dependence on mechanical ventilation or artificial lighting.","Design should think about how the inside floor plan can help people not to waste energy. For example, we shouldn't use air conditioning or too many electric lights.",Design should aim to reduce unnecessary energy use by minimizing reliance on mechanical ventilation and artificial lighting.
M-7,17,"Fitted with ‘ smoke seals ’ that are usually a thin metal and rubber strip fitted around the frame, they seal against the edge of the door.",Smoke seals are usually a thin metal and rubber strip that is fit around the frame against the edge of the door.,"They are fitted with 'smoke seals,' which are typically thin strips of metal and rubber. These seals fit around the frame and close against the door's edge."
M-7,18,Houses in Multiple Occupation (HMO) licences currently apply to most HMOs that are occupied by 5 or more people on 3 or more storeys.,Houses in Multiple Occupation (HMO) licences currently apply to HMOs occupied by 5 or more people within 3 or more rooms.,HMO licenses are required for most houses where 5 or more people live on 3 or more floors.
M-7,19,"The Council has appointed 3 Independent Persons (Mr Stuart Carvell, Mr Marvyn Moore and Mr David Waxman) to help the Monitoring Officer and Audit & Standards Committee in considering complaints about Councillors and Co-opted Members.","The Council has appointed 3 people to help the Monitoring Office and Audit & Standards Committee. They are Mr Stuart Carvell, Mr Marvyn Moore and Mr David Waxman. They will be looking at complaints about Councillors and Co-opted Members.","The Council has appointed three Independent Persons—Mr Stuart Carvell, Mr Marvyn Moore, and Mr David Waxman—to assist the Monitoring Officer and Audit & Standards Committee in reviewing complaints about Councillors and Co-opted Members."
M-7,20,"We are ninth place overall and Stonewall singled out praise on mental health and social support being provided to vulnerable groups, including lesbian, gay, bisexual and trans students.","We are in ninth place overall and Stonewall particularly praised the mental health and social help being given to vulnerable groups, such as LGBT students.","We are in ninth place overall. Stonewall praised us for providing mental health and social support to vulnerable groups, such as lesbian, gay, bisexual, and trans students."
M-7,21,"A new Early Help Assessment Part 1 form, available to download here, has been produced to give brief whole family details and updates on work already undertaken with a family.",A new Early Help Assessment Part 1 form is available to download here. It has been produced to give short whole family details and updates on work already undertaken with a family.,A new Early Help Assessment Part 1 form is available here for downloading. It provides brief details about the whole family and updates on work done with the family.
M-7,22,"Sheffield Bird Study Group, South Yorkshire Badger Group, South Yorkshire Bat Group) should be approached initially for species and habitat information to inform desk studies.","Suppose you want to inform desk studies about species and habitat information. Then you should initially contact the Sheffield Bird Study Group, South Yorkshire Badger Group, South Yorkshire Bat Group) .","Sheffield Bird Study Group, South Yorkshire Badger Group, and South Yorkshire Bat Group should be contacted first for species and habitat information to help with desk studies."
M-7,23,"We have been working in partnership with Scottish Widows Investment Property Partnership Trust (SWIPPT), part of Aberdeen Asset Management, to embark on an ambitious programme of regeneration which will transform this area into one of the most desirable shopping destinations in the city centre.","We have been working in partnership with Scottish Widows Investment Property Partnership Trust, part of Aberdeen Asset Management, to start an ambitious programme of restoration. This programme will transform this area into one of the most desirable shopping venues in the city centre.","We have been working with Scottish Widows Investment Property Partnership Trust to improve this area, turning it into a top shopping destination in the city centre."
