percentile,Index,LENS,Original,Reference,LM Output
top,662,82.43828154710516,It is in the interest of the candidate to ascertain that the car they intend to use is insured for the purpose of taking the Taxi / Private Hire test as they will be required to sign a document to that effect.,It is a good idea for the candidate to determine whether the car they will use is insured for taking the Taxi/Private Hire test. They will be required to sign a document that confirms the car is insured.,It is important for the candidate to check that the car they plan to use is insured for the Taxi/Private Hire test. They will need to sign a document confirming this.
top,74,80.9453935887116,"There is a variety of gates, stiles and footbridges available that are suitable to use on public paths that can be purchased from suppliers or built on site.","There is a variety of gates, stiles and footbridges available from suppliers or built on site that are suitable to use on public paths.","There are different types of gates, stiles, and footbridges available. They can be bought from suppliers or built on site."
top,28,76.85831229027526,"The NDF recommends a number of priority projects to deliver new housing and public realm improvements so that the area changes to become characterised as a safe, high quality and affordable area to live with housing choice, good facilities and a good location in the city.","The NDF recommends improvements to housing and public space in the area. These improvements should help the area to be seen as safe, with good and affordable housing.","The NDF suggests many important projects to build new housing and improve public spaces. These projects aim to make the area safer, higher quality, and more affordable. They also hope to provide housing choices, good facilities, and a desirable city location."
top,713,84.42294828976009,The ecologist will attend site with the arboricultural team and visually inspect the tree as well as carrying out inspections in the canopy of the tree.,The ecologist will attend site with the arboricultural team. They will visually inspect the tree. They will also carry out inspections in the canopy of the tree.,The ecologist will go to the site with the arboricultural team. They will look at the tree visually and also inspect the canopy.
top,522,79.42329938129681,Some schemes don ’ t need planning permission and other existing lights can be changed without needing planning permission.,Some schemes don’t need planning permission. Other lights can be changed without planning permission.,Some schemes do not require planning permission. Other existing lights can also be changed without needing planning permission.
top,542,79.2787868278345,"The compendium was adopted by Cabinet in 2004 following a period of public consultation, and was adopted as a material consideration in planning decisions in the city centre.","After speaking to the public, the process was adopted by Cabinet in 2004 and was considered in planning decisions in the city centre.",The compendium was adopted by Cabinet in 2004 after public consultation. It is considered in planning decisions for the city centre.
top,271,77.6634129962459,"Sheffield was a major producer of steel armaments in the 1800s and into the 20th century, but it was cutlery production that was the first real and practical beneficiary of the first ‘ rustless ’ steel.","Though Sheffield was a major producer of steel weapons in the 1800s and into the 20th century, the first industry to benefit from ‘rustless’ steel was cutlery production.","Sheffield produced a lot of steel armaments in the 1800s and the early 20th century. However, it was cutlery production that first really benefited from the new 'rustless' steel."
top,355,80.74418638409686,"We believe high quality Urban Design is of critical importance to the city, supporting Sheffield ’ s transformation, promoting sustainable development and delivering high quality places.","We believe high quality Urban Design is very important to the city. It supports Sheffield’s transformation, promots economic advances and delivers high quality places.","We believe high-quality urban design is very important for the city. It supports Sheffield's transformation, promotes sustainable development, and creates excellent places."
top,890,84.40014647561125,Letterbox Service which is a confidential service to facilitate the exchange of letters between adopters and birth families.,Letterbox Service (a private service allowing exchange of letters between adopters and birth families),Letterbox Service is a confidential way to help adopters and birth families exchange letters.
top,78,81.47439855575931,"Planning can assist in achieving this through encouraging positive action to mitigate against climate change, preserving and enhancing biodiversity and enhancing open spaces and river corridors.","Planning can assist in achieving this through encouraging positive action to fight against climate change, preserving and enriching biodiversity and creating more open spaces and river corridors.",Planning can help achieve this by encouraging actions that reduce climate change. It can also preserve and enhance biodiversity and improve open spaces and river corridors.
median,849,64.17699554801708,"If you receive any correspondence (including letters, text messages and emails) from us about non-payment of your Council Tax, do not ignore it!","If we contact you about non-payment of your Council Tax, do not ignore it!  You may be contacted by letter, text message or email.","If you receive any letters, text messages, or emails from us about non-payment of your Council Tax, do not ignore them!"
median,178,64.5565362085271,A discount will not be granted if there are still 2 or more people in the household over 18 who are counted for Council Tax purposes; or if the prisoner is in prison for non-payment of either Council Tax or a fine.,You will not be granted money off if there are still 2 or more people in the house over 18 who are used for Council Tax purposes. You will also not be granted money off if the bandit is in prison for not paying the Council Tax or a fine.,"A discount will not be given if there are 2 or more people over 18 in the household who are counted for Council Tax purposes. Additionally, a discount will not be given if the prisoner is in jail for not paying either Council Tax or a fine."
median,80,64.00617311114625,It's divided into different sections which can support the initial planning stages through to the later stages of delivery.,It's divided into different sections which can support the initial planning stages uninterrupted to the later stages of delivery.,It is divided into different sections that can support planning from the beginning to the later stages of delivery.
median,877,63.98598158620528,"If you live in a flat, maisonette or tower block, many large blocks of flats and maisonettes have a dry store facility in which you can place your unwanted bulky items.",You may use the dry store facility located on flats and maisonettes for unwanted large items.,"If you live in a flat, maisonette, or tower block, many large apartment buildings have a dry store facility where you can keep your unwanted bulky items."
median,725,63.68720589134038,There are examples of ephemera from the 18th century but most of the items in the collections are from the 19th century to the present day.,The majority of the collectible items are from the 19th century to the present day. Although there are some items from the 18th century.,"There are some examples from the 18th century, but most items in the collection are from the 19th century to today."
median,762,63.49536767768107,"If you ’ re no longer a council tenant and have left one of our properties with rent arrears, the money you owe is called ‘ Former Tenancy Arrears ’.",You owe 'Former Tenancy Arrears' if you are no longer a council tenant but still owe rent.,"If you are no longer a council tenant and have left one of our properties with outstanding rent, the unpaid rent is called 'Former Tenancy Arrears'."
median,372,65.43676666316003,"If you make any changes to your cooling tower or evaporative condenser, you must also tell us about them in writing immediately.",you must also tell us if you make any changes to your cooling tower or evaporative condenser,"If you make any changes to your cooling tower or evaporative condenser, you must notify us in writing immediately."
median,567,65.47832649264383,It should be noted that the whole process can take a long time and even a simple claim can take over to a year to complete once the process has started.,"The whole process can take a long time, even a simple claim can take over to a year to complete. *","The process can take a long time, even a simple claim can take more than a year to complete once the process starts."
median,1015,63.42486680500412,In partnership with South Yorkshire Passenger Transport Executive we are working to reduce traffic delays and improve the reliability of bus services along key bus routes in the city.,We are working with South Yorkshire Passenger Transport Executive to reduce delays and improve reliability of the most important bus routes.,We are working with South Yorkshire Passenger Transport Executive to reduce traffic delays and improve bus service reliability on key routes in the city.
median,186,63.66732697418151,There are options for parents to consider as long as they comply with the law which requires pupils to be in full time education from the beginning of the term following their 5th birthday.,"There are options for parents to consider. However, they have to obey the law which requires students to be in full time education from the beginning of the term following their 5th birthday.",Parents have options as long as their children start full-time education after their 5th birthday.
bottom,868,49.115672915799884,Any objections for September 2017 must be made before 15 May 2016 - you will need to contact the office of the schools adjudicator.,Objections for September 2017 must be made before the deadline on the 15th of May 2016. You will need to contact the school's judge's office.,Any objections for September 2017 must be made before 15 May 2016. Contact the school's adjudicator's office to do this.
bottom,100,45.62414704501679,"We can also pay an equipment allowance when you first start fostering, clothing allowances when a foster child first arrives with you and mileage for exceptional journeys outside regular day-to-day travel, but decisions about these allowances are made on a case-by-case basis.","We can also pay an equipment allowance when you first start fostering , clothing allowances when a foster child first arrives with you and mileage for unexpected journeys outside regular day-to-day travel. However, decisions about these allowances are made on a case-by-case basis.",We can pay an equipment allowance when you first start fostering. Clothing allowances are given when a foster child first arrives with you. Mileage is provided for exceptional journeys outside regular day-to-day travel. These allowances are decided on a case-by-case basis.
bottom,42,46.40842101733589,It is intended to upgrade this area to the same standard as the rest of The Moor subject to available funding by the end of Summer 2015.,"If funds are available, the area will be improved to match the rest of the moor by summer 2015.","Upgrading this area to the same standard as the rest of The Moor is planned, subject to available funding, and will be completed by the end of Summer 2015."
bottom,895,41.75627943294534,"The Peace Gardens are an award winning public space situated along Pinstone Street, near the Winter Garden and within walking distance of the Millennium Galleries.","The award-winning Peace gardens are located the Winter Garden and within walking distance of the Milleniumn Galleries, and are a public space.",The Peace Gardens are a public space located along Pinstone Street. They are near the Winter Garden and close to the Millennium Galleries. They have won an award.
bottom,659,21.20895589866794,"When you move out you must ensure that vacant possession is given to the Council, and that your rent is paid in full and up-to-date, the keys are handed in and the property (including garden where appropriate) is left in a satisfactory condition.","When you move out the property must be left empty. Make sure your rent has been paid in full and is up-to-date, hand in your keys, and leave the property, including the garden, in a fair state.","When you move out, you must give the Council vacant possession. Ensure your rent is fully paid. Hand in the keys. Leave the property, including the garden if applicable, in good condition."
